date	prec	tmax	tmin
19720826	0	36	26.5
19720827	0	35.5	26.9
19720828	0	37	27.1
19720829	0	35.6	26.8
19720830	0	37.6	26.6
19720931	0	35.8	25.9
19720901	0	35.8	26.4
19720902	0	32.4	26.3
19720903	0	35.6	26.4
19720904	0	36.8	27.4
19720905	0	35.6	26.3
19720906	0	36.4	25.8
19720907	0	33.5	26.6
19720908	0	35.8	23.6
19720909	0.4	36.5	25.6
19720910	0	34.7	27
19720911	0	35.9	27.1
19720912	0	36.2	26.3
19720913	0	36.6	26.1
19720914	0	36.5	27.1
19720915	0	33.7	25.3
19720916	0	35.8	26.9
19720917	0	35	26.2
19720918	0	33.7	26.9
19720919	0	34.7	25.5
